uri,ou_secretarioDepartamento,ou_directorDepartamento,schema_email,aiiso_code,areas,foaf_name
http://opendata.unex.es/recurso/educacion/universidad/Departamento/Y058-ciencias-biomedicas,http://opendata.unex.es/recurso/educacion/universidad/personal/PDI/6735c2e5d3e5a51c66f56889a7efe4ac-luis-miguel-hernandez-martin,http://opendata.unex.es/recurso/educacion/universidad/personal/PDI/c01e07eb3baecc1dfbcdaf6bd505621f-enrique-galan-gomez,dirdptocbio@unex.es,Y058,http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/020-anatomia-patologica  http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/183-dermatologia  http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/610-medicina  http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/613-medicina-legal-y-forense  http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/615-medicina-preventiva-y-salud-publica  http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/630-microbiologia  http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/670-pediatria  http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/770-radiologia-y-medicina-fisica,CIENCIAS BIOMÉDICAS
http://opendata.unex.es/recurso/educacion/universidad/Departamento/Y013-economia-financiera-y-contabilidad,http://opendata.unex.es/recurso/educacion/universidad/personal/PDI/b66156e1eeca2148a9db1631bea75eb5-pedro-mora-lopez,http://opendata.unex.es/recurso/educacion/universidad/personal/PDI/97bbb573544caf1c59bb73a4d1c8adf5-esther-amalia-munoz-baquero,dirdptoefyc@unex.es,Y013,http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/230-economia-financiera-y-contabilidad,ECONOMÍA FINANCIERA Y CONTABILIDAD
http://opendata.unex.es/recurso/educacion/universidad/Departamento/Y052-fisica-aplicada,http://opendata.unex.es/recurso/educacion/universidad/personal/PDI/5c0472fa1f12c981ed012369d837ecd6-angel-anastasio-mulero-diaz,http://opendata.unex.es/recurso/educacion/universidad/personal/PDI/a978df3e6fd2b89494f6d469d4f02b75-isidro-cachadina-gutierrez,dirdptofiap@unex.es,Y052,http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/385-fisica-aplicada,FÍSICA APLICADA
http://opendata.unex.es/recurso/educacion/universidad/Departamento/Y007-derecho-publico,http://opendata.unex.es/recurso/educacion/universidad/personal/PDI/e076d41589e96a655946a97e054fe03f-rosa-maria-galapero-flores,http://opendata.unex.es/recurso/educacion/universidad/personal/PDI/f1a9afa4ed8a31923887d01c4afee5d5-joaquin-cuello-contreras,dirdptodpub@unex.es,Y007,http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/125-derecho-administrativo  http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/135-derecho-constitucional  http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/145-derecho-eclesiastico-del-estado  http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/150-derecho-financiero-y-tributario  http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/160-derecho-internacional-pco-y-relac-internacionales  http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/170-derecho-penal  http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/175-derecho-procesal,DERECHO PÚBLICO
http://opendata.unex.es/recurso/educacion/universidad/Departamento/Y028-matematicas,http://opendata.unex.es/recurso/educacion/universidad/personal/PDI/a9857190eb69981077d8ee23a9f7eb1d-ines-maria-del-puerto-garcia,http://opendata.unex.es/recurso/educacion/universidad/personal/PDI/bd475f648282458214620b61a18d4659-ignacio-ojeda-martinez-de-castilla,dirdptomate@unex.es,Y028,http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/005-algebra  http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/015-analisis-matematico  http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/265-estadistica-e-investigacion-operativa  http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/440-geometria-y-topologia  http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/595-matematica-aplicada,MATEMÁTICAS
http://opendata.unex.es/recurso/educacion/universidad/Departamento/Y016-expresion-grafica,http://opendata.unex.es/recurso/educacion/universidad/personal/PDI/750807850f950de58603a063f3da968a-alan-david-atkinson-gordo,http://opendata.unex.es/recurso/educacion/universidad/personal/PDI/1b8898711dae798f375a7f7a86facf11-francisco-jesus-moral-garcia,dirdptoexgr@unex.es,Y016,http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/300-expresion-grafica-arquitectonica  http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/305-expresion-grafica-en-la-ingenieria  http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/505-ingenieria-cartografica-geodesia-y-fotogrametria  http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/720-proyectos-de-ingenieria,EXPRESIÓN GRÁFICA
http://opendata.unex.es/recurso/educacion/universidad/Departamento/Y050-lenguas-modernas-y-literaturas-comparadas,http://opendata.unex.es/recurso/educacion/universidad/personal/PDI/6a9e829135c31307c6b51f4b20154cf5-severina-alvarez-gonzalez,http://opendata.unex.es/recurso/educacion/universidad/personal/PDI/e82388e3365cd58c82d3e1662c3fc0ed-maria-jesus-fernandez-garcia,dirdptolmlc@unex.es,Y050,http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/285-estudios-arabes-e-islamicos  http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/320-filologia-alemana  http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/335-filologia-francesa  http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/350-filologia-italiana  http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/370-filologias-gallega-y-portuguesa  http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/795-teoria-de-la-literatura-y-literatura-comparada,LENGUAS MODERNAS Y LITERATURAS COMPARADAS
http://opendata.unex.es/recurso/educacion/universidad/Departamento/Y049-ingenieria-mecanica-energetica-y-de-los-materiales,http://opendata.unex.es/recurso/educacion/universidad/personal/PDI/c25dd6e5fb6edc5390c72eb8d3e0e230-jose-ignacio-arranz-barriga,http://opendata.unex.es/recurso/educacion/universidad/personal/PDI/4cb165e334e14cb14ba8dbdd69aa7461-jose-sanchez-gonzalez,dirdptoimem@unex.es,Y049,http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/065-ciencias-de-materiales-e-ingenieria-metalurgica  http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/515-ingenieria-de-los-procesos-de-fabricacion  http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/545-ingenieria-mecanica  http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/590-maquinas-y-motores-termicos  http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/600-mecanica-de-fluidos  http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/605-mecanica-de-medios-continuos-y-t-de-estructuras,INGENIERÍA MECÁNICA, ENERGÉTICA Y DE LOS MATERIALES
http://opendata.unex.es/recurso/educacion/universidad/Departamento/Y010-didactica-de-la-expresion-musical-plastica-y-corporal,http://opendata.unex.es/recurso/educacion/universidad/personal/PDI/2baeb467a61214bba36fdc3c0dcbfbdc-jesus-munoz-jimenez,http://opendata.unex.es/recurso/educacion/universidad/personal/PDI/869be7318251c456256e8f08df85c968-antonio-antunez-medina,dirdptodemu@unex.es,Y010,http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/185-dibujo  http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/187-didactica-de-la-expresion-corporal  http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/189-didactica-de-la-expresion-musical  http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/193-didactica-de-la-expresion-plastica  http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/245-educacion-fisica-y-deportiva  http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/635-musica,DIDÁCTICA DE LA EXPRESIÓN MUSICAL, PLÁSTICA Y CORPORAL
http://opendata.unex.es/recurso/educacion/universidad/Departamento/Y021-fisica,http://opendata.unex.es/recurso/educacion/universidad/personal/PDI/02d14a9b5e7f863f4968a6055f775a38-francisco-javier-acero-diaz,http://opendata.unex.es/recurso/educacion/universidad/personal/PDI/9c945f69df4b4205a564a960a22a7b03-juan-jose-melendez-martinez,dirdptofsca@unex.es,Y021,http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/390-fisica-atomica-molecular-y-nuclear  http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/395-fisica-de-la-materia-condensada  http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/398-fisica-de-la-tierra  http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/405-fisica-teorica  http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/647-optica,FÍSICA
http://opendata.unex.es/recurso/educacion/universidad/Departamento/Y047-direccion-de-empresas-y-sociologia,http://opendata.unex.es/recurso/educacion/universidad/personal/PDI/cc81d3088142057c811074e718eb8879-claudio-antonio-prudencio-alonso,http://opendata.unex.es/recurso/educacion/universidad/personal/PDI/52a96982be2cf91b9120817b84d0dd45-ramon-sanguino-galvan,dirdptodeys@unex.es,Y047,http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/095-comercializacion-e-investigacion-de-mercados  http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/650-organizacion-de-empresas  http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/775-sociologia,DIRECCIÓN DE EMPRESAS Y SOCIOLOGÍA
http://opendata.unex.es/recurso/educacion/universidad/Departamento/Y057-terapeutica-medico-quirurgica,http://opendata.unex.es/recurso/educacion/universidad/personal/PDI/-,http://opendata.unex.es/recurso/educacion/universidad/personal/PDI/725f59fcbebc99b2431c1fe3124940ca-diego-felipe-peral-pacheco,dirdptotmqu@unex.es,Y057,http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/090-cirugia  http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/315-farmacologia  http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/413-fisioterapia  http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/460-historia-de-la-ciencia  http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/645-obstetricia-y-ginecologia  http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/646-oftalmologia  http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/653-otorrinolaringologia  http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/745-psiquiatria  http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/817-urologia  http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/830-traumatologia-y-ortopedia,TERAPÉUTICA MÉDICO-QUIRÚRGICA
http://opendata.unex.es/recurso/educacion/universidad/Departamento/Y054-tecnologia-computadores-y-de-las-comunicaciones,http://opendata.unex.es/recurso/educacion/universidad/personal/PDI/d09d1eb202e6563151c189e42c7c3a4b-yolanda-campos-roca,http://opendata.unex.es/recurso/educacion/universidad/personal/PDI/21a830fa6b76a7f8be7f0a2248f35ab0-juan-antonio-gomez-pulido,dirdptotcyc@unex.es,Y054,http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/035-arquitectura-y-tecnologia-de-computadores  http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/800-teoria-de-la-senal-y-comunicaciones,TECNOLOGÍA COMPUTADORES Y DE LAS COMUNICACIONES
http://opendata.unex.es/recurso/educacion/universidad/Departamento/Y024-historia,http://opendata.unex.es/recurso/educacion/universidad/personal/PDI/ec2e76942daa0d23a7d8d654bbe5ae2f-jose-antonio-rubio-caballero,http://opendata.unex.es/recurso/educacion/universidad/personal/PDI/c0cab8df8372b6156bab313e66223d49-enrique-moradiellos-garcia,dirdptohist@unex.es,Y024,http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/033-arqueologia  http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/085-ciencias-y-tecnicas-historiograficas  http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/375-filosofia  http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/450-historia-contemporanea  http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/455-historia-de-america  http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/485-historia-medieval  http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/490-historia-moderna  http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/695-prehistoria,HISTORIA
http://opendata.unex.es/recurso/educacion/universidad/Departamento/Y045-didactica-de-las-ciencias-sociales-lengua-y-literatura,http://opendata.unex.es/recurso/educacion/universidad/personal/PDI/477aadf2a75ca6e928928e2b6ea7b716-gloria-garcia-rivera,http://opendata.unex.es/recurso/educacion/universidad/personal/PDI/6e2ba801817dcdbce204a631a7d4f213-angel-suarez-munoz,dirdptodcsl@unex.es,Y045,http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/195-didactica-de-la-lengua-y-la-literatura  http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/210-didactica-de-las-ciencias-sociales,DIDÁCTICA DE LAS CIENCIAS SOCIALES, LENGUA Y LITERATURA
http://opendata.unex.es/recurso/educacion/universidad/Departamento/Y034-quimica-analitica,http://opendata.unex.es/recurso/educacion/universidad/personal/PDI/88f7a2b2a0e8cdefa8db68e010870c34-eduardo-consuelo-pinilla-gil,http://opendata.unex.es/recurso/educacion/universidad/personal/PDI/99a3e922b352b32552b042c9b79a90d4-maria-teresa-galeano-diaz,dirdptoquan@unex.es,Y034,http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/750-quimica-analitica,QUÍMICA ANALÍTICA
http://opendata.unex.es/recurso/educacion/universidad/Departamento/Y004-ciencias-de-la-educacion,http://opendata.unex.es/recurso/educacion/universidad/personal/PDI/65718876722cc177e79df3c181bbdbd1-maria-rosa-fernandez-sanchez,http://opendata.unex.es/recurso/educacion/universidad/personal/PDI/0be90f7dd185dab8aa40c28a9013e1e1-francisco-manuel-lucero-fustes,dirdptocedu@unex.es,Y004,http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/215-didactica-y-organizacion-escolar  http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/625-metodos-de-investigacion-y-diagnostico-en-educac  http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/805-teoria-e-historia-de-la-educacion,CIENCIAS DE LA EDUCACIÓN
http://opendata.unex.es/recurso/educacion/universidad/Departamento/Y022-fisiologia,http://opendata.unex.es/recurso/educacion/universidad/personal/PDI/a5abdbd7623c027bb185bd6998957231-pedro-javier-camello-almaraz,http://opendata.unex.es/recurso/educacion/universidad/personal/PDI/72516ca7e1b4e9ed042a5518116b433c-juan-antonio-rosado-dionisio,dirdptofsio@unex.es,Y022,http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/410-fisiologia  http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/566-inmunologia,FISIOLOGÍA
http://opendata.unex.es/recurso/educacion/universidad/Departamento/Y038-construccion,http://opendata.unex.es/recurso/educacion/universidad/personal/PDI/4c687f4782d991e4c50d0b0e3ad7e0ca-francisco-serrano-candela,http://opendata.unex.es/recurso/educacion/universidad/personal/PDI/62b8a33356f92f80b346a669414f8935-miguel-candel-perez,dirdptocons@unex.es,Y038,http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/110-construcciones-arquitectonicas  http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/510-ingenieria-de-la-construccion  http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/525-ingenieria-del-terreno  http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/530-ingenieria-e-infraestructura-de-los-transportes  http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/540-ingenieria-hidraulica,CONSTRUCCIÓN
http://opendata.unex.es/recurso/educacion/universidad/Departamento/Y061-psicologia-y-antropologia,http://opendata.unex.es/recurso/educacion/universidad/personal/PDI/30b63775a44f7af15f8e493a8c0375a9-maria-elena-felipe-castano,http://opendata.unex.es/recurso/educacion/universidad/personal/PDI/6d401cb8b2a559de4719f60af4aa88bd-juan-manuel-moreno-manso,dirdptopsan@unex.es,Y061,http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/030-antropologia-social  http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/680-personalidad-evaluacion-y-tratamiento-psicologic  http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/730-psicologia-basica  http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/735-psicologia-evolutiva-y-de-la-educacion  http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/740-psicologia-social,PSICOLOGÍA Y ANTROPOLOGÍA
http://opendata.unex.es/recurso/educacion/universidad/Departamento/Y051-filologia-inglesa,http://opendata.unex.es/recurso/educacion/universidad/personal/PDI/aea14c71afd28089dbd5d709ede9353e-ana-maria-piquer-piriz,http://opendata.unex.es/recurso/educacion/universidad/personal/PDI/792d37ea45b9c22086eda693a9ea26ba-jose-luis-oncins-martinez,dirdptofing@unex.es,Y051,http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/345-filologia-inglesa,FILOLOGÍA INGLESA
http://opendata.unex.es/recurso/educacion/universidad/Departamento/Y039-produccion-animal-y-ciencia-de-los-alimentos,http://opendata.unex.es/recurso/educacion/universidad/personal/PDI/3b97b62a635cc355a3380c85634596ad-juan-florencio-tejeda-sereno,http://opendata.unex.es/recurso/educacion/universidad/personal/PDI/9c5ee97bdf0fc7b4c22221bf5a9d57f2-miguel-escribano-sanchez,dirdptopaal@unex.es,Y039,http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/025-anatomia-y-anatomia-patologica-comparada  http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/640-nutricion-y-bromatologia  http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/700-produccion-animal  http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/780-tecnologia-de-los-alimentos,PRODUCCIÓN ANIMAL Y CIENCIA DE LOS ALIMENTOS
http://opendata.unex.es/recurso/educacion/universidad/Departamento/Y059-medicina-animal,http://opendata.unex.es/recurso/educacion/universidad/personal/PDI/5f0a0456e1b869f783c7edfba7098b33-maria-cruz-gil-anaya,http://opendata.unex.es/recurso/educacion/universidad/personal/PDI/4d47ffff803bf724f9e9784b3899a6c3-antonio-manuel-gazquez-ortiz,dirdptomani@unex.es,Y059,http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/025-anatomia-y-anatomia-patologica-comparada  http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/617-medicina-y-cirugia-animal,MEDICINA ANIMAL
http://opendata.unex.es/recurso/educacion/universidad/Departamento/Y053-arte-y-ciencias-del-territorio,http://opendata.unex.es/recurso/educacion/universidad/personal/PDI/3834f4ad7a3192c425a3e95a3065bf00-ana-nieto-masot,http://opendata.unex.es/recurso/educacion/universidad/personal/PDI/6c5034377ceaa19f5ba9ceb9f0801a91-maria-teresa-terron-reynolds,dirdptoacte@unex.es,Y053,http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/010-analisis-geografico-regional  http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/430-geografia-fisica  http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/435-geografia-humana  http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/465-historia-del-arte,ARTE Y CIENCIAS DEL TERRITORIO
http://opendata.unex.es/recurso/educacion/universidad/Departamento/Y006-derecho-privado,http://opendata.unex.es/recurso/educacion/universidad/personal/PDI/6d69a0084e03be0324dbf1ef78c3a016-maria-jose-perez-albuquerque,http://opendata.unex.es/recurso/educacion/universidad/personal/PDI/1bc02abe10131e9d0a929320ae759693-angel-arias-dominguez,dirdptodpri@unex.es,Y006,http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/130-derecho-civil  http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/140-derecho-del-trabajo-y-de-la-seguridad-social  http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/155-derecho-internacional-privado  http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/165-derecho-mercantil  http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/180-derecho-romano  http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/381-filosofia-del-derecho  http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/470-historia-del-derecho-y-de-las-instituciones,DERECHO PRIVADO
